img_id,category,question,answer,mode
synpic43931,abnormality,what abnormality is seen in the image,azygous lobe,train
synpic45335,abnormality,what is abnormal in the mri,cerebral venous thrombosis,train
synpic42174,abnormality,what is abnormal in the x-ray,epiploic appendigitis .,train
synpic53115,abnormality,what is abnormal in the ct scan,epidermoid brain tumor epidermoid inclusion cyst,train
synpic37644,abnormality,what is abnormal in the mri,meningioma multiple,train
synpic25493,abnormality,what abnormality is seen in the image,sporadic burkitt's lymphoma diffuse small noncleaved cell lymphoma,train
synpic42206,abnormality,what abnormality is seen in the image,ruptured aortic aneurysm,train
synpic30701,abnormality,what is the primary abnormality in this image,glioblastoma multiforme,train
synpic34141,abnormality,what abnormality is seen in the image,umbilical venous catheter,train
synpic52252,abnormality,what is the primary abnormality in this image,spongioform encephalopathy presumed variant creutzfeldt-jakob disease,train
synpic27629,abnormality,what is the primary abnormality in this image,pheochromocytoma bilateral,train
synpic53328,abnormality,what is abnormal in the ct scan,hodgkin's lymphoma,train
synpic31721,abnormality,what is most alarming about this ct scan,azygous lobe,train
synpic59388,abnormality,what is abnormal in the mri,anaplastic ependymoma,train
synpic23816,abnormality,what is most alarming about this ct scan,nodular sclerosing hodgkin’s lymphoma,train
synpic40525,abnormality,what is the primary abnormality in this image,autosomal recessive polycystic kidney disease,train
synpic56483,abnormality,what abnormality is seen in the image,craniosynostosis scaphocephaly,train
synpic53425,abnormality,what is most alarming about this ultrasound,ovarian hernia,train
synpic20385,abnormality,what is abnormal in the ct scan,lung adenocarcinoma and cns metastasis,train
synpic25253,abnormality,what is most alarming about this ultrasound,hydrocephalus secondary to intraventricular hemorrhage . periventricular leukomalacia,train
synpic56581,abnormality,what is most alarming about this ct scan,imaging in traumatic brain injury,train
synpic54829,abnormality,what is abnormal in the ct scan,femoroacetabular impingement fai,train
synpic55507,abnormality,what is abnormal in the ct scan,otosclerosis,train
synpic40520,abnormality,what abnormality is seen in the image,hepatic congestion secondary to congestive heart failure,train
synpic48531,abnormality,what is most alarming about this mri,acute disseminated encephalomyelitis adem,train
synpic59332,abnormality,what abnormality is seen in the image,paranasal sinus mucocele,train
synpic42195,abnormality,what is the primary abnormality in this image,achilles’-tendon xanthoma in familial hypercholesterolemia,train
synpic56012,abnormality,what is most alarming about this mri,metastatic bronchogenic carcinoma,train
synpic54815,abnormality,what is the primary abnormality in this image,moya-moya,train
synpic50047,abnormality,what is most alarming about this mri,epidural spinal hematoma,train
synpic17147,abnormality,what is abnormal in the ct scan,pulmonary embolism,train
synpic38560,abnormality,what is most alarming about this mri,neurocytoma central neurocytoma,train
synpic40860,abnormality,what is the primary abnormality in this image,glioblastoma multiforme,train
synpic33981,abnormality,what abnormality is seen in the image,psoriatic arthritis,train
synpic34863,abnormality,what is abnormal in the mri,paradoxic embolization patent foramen ovale cerebral infarction,train
synpic19176,abnormality,what is abnormal in the mri,quadriceps tendon rupture,train
synpic49440,abnormality,what abnormality is seen in the image,twinkle artifact,train
synpic26751,abnormality,what abnormality is seen in the image,bilateral cavernous sinus metastatic lymphoma,train
synpic53801,abnormality,what abnormality is seen in the image,scimitar syndrome in infant,train
synpic46205,abnormality,what is the primary abnormality in this image,non-hodgkin's lymphoma - b-cell lymphoma,train
synpic59158,abnormality,what is most alarming about this mri,vestibular schwannoma,train
synpic17734,abnormality,what is most alarming about this ct scan,mature cystic teratoma,train
synpic21681,abnormality,what is the primary abnormality in this image,morton's neuroma,train
synpic24684,abnormality,what is most alarming about this ultrasound,emphysematous cholecystitis,train
synpic28603,abnormality,what is most alarming about this x-ray,pulmonary arteriovenous malformation,train
synpic18635,abnormality,what is abnormal in the ct scan,hepatoblastoma,train
synpic27944,abnormality,what is most alarming about this x-ray,congenital carpal fusion,train
synpic57969,abnormality,does this image look normal,no,train
synpic47786,abnormality,what abnormality is seen in the image,burkitt's lymphoma,train
synpic52603,abnormality,what is abnormal in the x-ray,ankylosing spondylitis,train
synpic34133,abnormality,what is the primary abnormality in this image,tuberous sclerosis bourneville disease,train
synpic27086,abnormality,what is the primary abnormality in this image,ovarian vein thrombosis,train
synpic39478,abnormality,what abnormality is seen in the image,epidermoid tumor,train
synpic38596,abnormality,what is the primary abnormality in this image,pulmonary embolism,train
synpic32301,abnormality,what is the primary abnormality in this image,superficial siderosis of the cns meninges,train
synpic15995,abnormality,what is abnormal in the ct scan,subcapsular hematoma of liver,train
synpic33956,abnormality,what abnormality is seen in the image,craniosynostosis coronal suture,train
synpic23085,abnormality,what abnormality is seen in the image,acromioclavicular joint separation grade iii,train
synpic54419,abnormality,what abnormality is seen in the image,spinal dural arteriovenous fistula,train
synpic27128,abnormality,what is most alarming about this ct scan,tuberous sclerosis complex tsc,train
synpic19554,abnormality,what is most alarming about this ct scan,gastrointestinal stromal tumor gist,train
synpic35818,abnormality,what is most alarming about this mri,aminoaciduria,train
synpic56034,abnormality,what abnormality is seen in the image,meningioma,train
synpic33120,abnormality,what is most alarming about this mri,osteomyelitis,train
synpic50792,abnormality,what is most alarming about this mri,schwannoma,train
synpic57298,abnormality,what is abnormal in the ct scan,anaplastic astrocytoma grade iii grade 3,train
synpic47030,abnormality,what is the primary abnormality in this image,nonossifying fibroma,train
synpic55619,abnormality,what is the primary abnormality in this image,lemierre’s syndrome,train
synpic40008,abnormality,what is the primary abnormality in this image,acute appendicitis,train
synpic17654,abnormality,what is the primary abnormality in this image,spondyloepiphyseal dysplasia tarda,train
synpic56844,abnormality,what abnormality is seen in the image,shingles varicella zoster chicken pox,train
synpic43708,abnormality,what is abnormal in the mri,hypothalamic glioma,train
synpic35615,abnormality,what abnormality is seen in the image,tuberous sclerosis,train
synpic43651,abnormality,what is abnormal in the angiogram,angiomyolipoma,train
synpic33179,abnormality,what is most alarming about this ct scan,hepatic abscess,train
synpic31741,abnormality,what is most alarming about this x-ray,rickets,train
synpic25275,abnormality,what abnormality is seen in the image,cryptococcus cryptococcoma,train
synpic18627,abnormality,what is abnormal in the ct scan,hepatoblastoma,train
synpic45446,abnormality,what abnormality is seen in the image,celiac abdominal aorta common iliac aneurysms,train
synpic44470,abnormality,what is most alarming about this mri,acute myelogenous leukemia aml,train
synpic35745,abnormality,what is abnormal in the mri,leptomeningeal sarcoid,train
synpic51075,abnormality,what abnormality is seen in the image,adult medulloblastoma,train
synpic40723,abnormality,what is most alarming about this mri,neurosarcoid cns sarcoid,train
synpic50024,abnormality,what is abnormal in the ct scan,colloid cyst mr and ct characteristics,train
synpic41562,abnormality,what abnormality is seen in the image,spontaneous pneumomediastinum,train
synpic59563,abnormality,what is the primary abnormality in this image,schwannoma,train
synpic51954,abnormality,what abnormality is seen in the image,traumatic carotid-cavernous fistula,train
synpic23032,abnormality,what abnormality is seen in the image,sheehan's syndrome,train
synpic52370,abnormality,what abnormality is seen in the image,cerebral aneurysm,train
synpic48181,abnormality,what is abnormal in the angiogram,median arcuate ligament syndrome,train
synpic53966,abnormality,what abnormality is seen in the image,abscess pyogenic,train
synpic61222,abnormality,what is abnormal in the ct scan,langerhan cell histiocytosis,train
synpic16937,abnormality,what is most alarming about this ct scan,coarctation of the aorta,train
synpic20416,abnormality,what is the primary abnormality in this image,pericardial effusion with tamponade,train
synpic28745,abnormality,what abnormality is seen in the image,ureteral stone perinephric fluid,train
synpic36987,abnormality,what abnormality is seen in the image,hemiazygous and azygous continuation of the inferior vena cava,train
synpic37401,abnormality,what is most alarming about this gastrointestinal image,hypertrophic pyloric stenosis,train
synpic29624,abnormality,what is the primary abnormality in this image,pituitary microadenoma,train
synpic30372,abnormality,what abnormality is seen in the image,fractures of the base of the fifth metatarsal,train
synpic19769,abnormality,what is most alarming about this mri,central pontine myelinolysis cpm osmotic myelinolysis,train
synpic55583,abnormality,what is abnormal in the mri,venous infarction,train
synpic45870,abnormality,what abnormality is seen in the image,dermoid cyst nasofrontal with remnant tract to skin surface .,train
synpic31260,abnormality,what is abnormal in the x-ray,non-small cell lung cancer,train
synpic10588,abnormality,what is the primary abnormality in this image,diffuse cerebral edema - mimic of sah,train
synpic55928,abnormality,what is most alarming about this ct scan,bilateral carotid body tumors,train
synpic33574,abnormality,what is abnormal in the ct scan,diverticulitis,train
synpic19753,abnormality,what is the primary abnormality in this image,bucket handle meniscal tear of the knee,train
synpic37692,abnormality,what is abnormal in the mri,glioblastoma multiforme,train
synpic34500,abnormality,what is abnormal in the ct scan,diffuse cerebral edema swelling,train
synpic58652,abnormality,what is the primary abnormality in this image,fibrosarcoma,train
synpic40568,abnormality,what abnormality is seen in the image,spinal cord lipoma,train
synpic13036,abnormality,what is most alarming about this ct scan,esophageal b-cell lymphoma,train
synpic18810,abnormality,what is abnormal in the ct scan,liver hemangioma,train
synpic47344,abnormality,is the mri normal,no,train
synpic51700,abnormality,what is most alarming about this mri,rathke cleft cyst,train
synpic58469,abnormality,what is the primary abnormality in this image,glioblastoma multiforme,train
synpic47722,abnormality,what abnormality is seen in the image,angiosarcoma,train
synpic51715,abnormality,is the mri normal,no,train
synpic600,abnormality,what is most alarming about this mri,neurofibromatosis-1 nf1 nf-1,train
synpic39220,abnormality,what abnormality is seen in the image,diffuse esophageal spasm,train
synpic59403,abnormality,what is the primary abnormality in this image,osteosarcoma,train
synpic29038,abnormality,what abnormality is seen in the image,myxopapillary ependymoma .,train
synpic8622,abnormality,what is the primary abnormality in this image,focal nodular hyperplasia,train
synpic29835,abnormality,what is the primary abnormality in this image,acute appendicitis,train
synpic28664,abnormality,what is the primary abnormality in this image,spigelian hernia,train
synpic43453,abnormality,what is the primary abnormality in this image,poorly differentiated non-small cell lung carcinoma,train
synpic16805,abnormality,what abnormality is seen in the image,thromboembolic stroke,train
synpic42789,abnormality,what is abnormal in the mri,cystic meningioma atypical,train
synpic43617,abnormality,what is most alarming about this ct scan,crossed fused ectopia,train
synpic57273,abnormality,what is most alarming about this mri,dural sinus thrombosis,train
synpic43471,abnormality,what is abnormal in the x-ray,supracondylar fracture,train
synpic29733,abnormality,what is the primary abnormality in this image,splenosis,train
synpic26978,abnormality,what is most alarming about this mammograph,invasive lobular carcinoma,train
synpic50065,abnormality,what is abnormal in the x-ray,cleidocranial dysostosis/dysplasia,train
synpic46599,abnormality,what abnormality is seen in the image,achalasia,train
synpic19978,abnormality,what abnormality is seen in the image,adenocarcinoma of the esophagus,train
synpic30387,abnormality,what is the primary abnormality in this image,acute cerebral infarction value of noncontrast ct,train
synpic50837,abnormality,what is abnormal in the ct scan,c-spine fracture,train
synpic16091,abnormality,what abnormality is seen in the image,endometrial atrophy with polyp,train
synpic29456,abnormality,what is the primary abnormality in this image,schwannoma,train
synpic33843,abnormality,what abnormality is seen in the image,pancreatic adenocarcinoma,train
synpic34059,abnormality,what is abnormal in the ultrasound,acute appendicitis,train
synpic38319,abnormality,what is the primary abnormality in this image,persistent left svc,train
synpic27745,abnormality,what is abnormal in the ct scan,skull cap in anterior abdominal wall,train
synpic37466,abnormality,what abnormality is seen in the image,dieulafoy's lesion an angiographic finding of a gastric avm,train
synpic20753,abnormality,what is abnormal in the angiogram,meningioma,train
synpic25386,abnormality,what is most alarming about this ct scan,schizencephaly,train
synpic25380,abnormality,what abnormality is seen in the image,non-hodgkin’s lymphoma staging stage i nhl,train
synpic37868,abnormality,what is the primary abnormality in this image,chiari 3 malformation cervical-occipital encephalocele,train
synpic32612,abnormality,what is the primary abnormality in this image,duplicated renal collecting system,train
synpic42986,abnormality,what is abnormal in the ultrasound,emphysematous cholecystitis,train
synpic22575,abnormality,what is most alarming about this x-ray,bacterial pneumonia,train
synpic36927,abnormality,what abnormality is seen in the image,agenesis of the corpus callosum heterotopic subependymal grey matter,train
synpic10769,abnormality,what is abnormal in the mri,dnet dysembryoplastic neuroepithelial tumor,train
synpic34972,abnormality,what is abnormal in the mri,leigh's disease subacute necrotizing encephalopathy .,train
synpic19528,abnormality,what is most alarming about this ct scan,histoplasmosis,train
synpic29691,abnormality,what abnormality is seen in the image,postcatheterization pseudoaneurysm,train
synpic58492,abnormality,what is abnormal in the mri,glioblastoma multiforme,train
synpic58841,abnormality,what is the primary abnormality in this image,acute dural venous sinus thrombosis dvst secondary temporal lobe venous hemorrhagic infarction,train
synpic40816,abnormality,what is the primary abnormality in this image,metastatic disease from colonic carcinoma,train
synpic56011,abnormality,what is abnormal in the mri,metastatic bronchogenic carcinoma,train
synpic50546,abnormality,what is abnormal in the mri,basilar artery thrombosis cerebral infarction,train
synpic43797,abnormality,what is the primary abnormality in this image,bicuspid aortic valve,train
synpic36191,abnormality,what is most alarming about this ct scan,kyphoplasty cement leak,train
synpic40281,abnormality,what abnormality is seen in the image,colon adenocarcinoma,train
synpic57639,abnormality,what abnormality is seen in the image,schwannoma,train
synpic53973,abnormality,what is abnormal in the mri,vasculitis vasculitides,train
synpic23091,abnormality,what abnormality is seen in the image,acromioclavicular joint separation grade iii,train
synpic22647,abnormality,what abnormality is seen in the image,dermoid cyst cystic teratoma,train
synpic19826,abnormality,what is abnormal in the ct scan,hereditary nonpolyposis colon cancer,train
synpic36774,abnormality,what is the primary abnormality in this image,leptomeningeal carcinomatosis,train
synpic15171,abnormality,what is abnormal in the x-ray,pulmonary embolism,train
synpic30700,abnormality,what is most alarming about this ct scan,glioblastoma multiforme,train
synpic37748,abnormality,what is the primary abnormality in this image,pleomorphic adenoma,train
synpic25424,abnormality,what is the primary abnormality in this image,aberrant right subclavian artery arsa,train
synpic31745,abnormality,what abnormality is seen in the image,hematometrocolpos,train
synpic41916,abnormality,what abnormality is seen in the image,pilomyxoid astrocytoma pma who grade 2,train
synpic38717,abnormality,what abnormality is seen in the image,acute pediatric osteomyelitis,train
synpic45921,abnormality,what is most alarming about this ct scan,chordoma,train
synpic25331,abnormality,what is abnormal in the ct scan,neurosarcoid cns sarcoid,train
synpic30992,abnormality,what is most alarming about this x-ray,calcium pyrophosphate dihydrate cppd crystal deposition disease,train
synpic15795,abnormality,what abnormality is seen in the image,glioblastoma,train
synpic19600,abnormality,what is abnormal in the mri,t-99m hdp and subacute osteomyelitis,train
synpic33504,abnormality,what abnormality is seen in the image,facial trauma s/p mva,train
synpic49033,abnormality,what is abnormal in the x-ray,ballistic fragment in the psoas muscle,train
synpic55723,abnormality,what is most alarming about this mri,vestibular schwannoma,train
synpic50742,abnormality,what abnormality is seen in the image,visual fields differential diagnosis,train
synpic31251,abnormality,what is the primary abnormality in this image,round atelectasis,train
synpic37394,abnormality,what is abnormal in the ultrasound,embryonal carcinoma,train
synpic28305,abnormality,what is the primary abnormality in this image,femoral pseudoaneurysms,train
synpic57196,abnormality,what is abnormal in the mri,tuberous sclerosis,train
synpic52990,abnormality,what is the primary abnormality in this image,early onset breast cancer,train
synpic34859,abnormality,what abnormality is seen in the image,paradoxic embolization patent foramen ovale cerebral infarction,train
synpic9634,abnormality,what is the primary abnormality in this image,pancreatic carcinoma,train
synpic38753,abnormality,what abnormality is seen in the image,testicular microlithiasis,train
synpic39552,abnormality,what abnormality is seen in the image,herpes encephalitis,train
synpic28967,abnormality,what abnormality is seen in the image,pneumatocele,train
synpic23691,abnormality,what is abnormal in the mri,acute disseminated encephalomyelitis adem,train
synpic27259,abnormality,what is abnormal in the ct scan,fibrous dysplasia,train
synpic47203,abnormality,what is the primary abnormality in this image,adenocarcinoma of the lung,train
synpic20793,abnormality,what is the primary abnormality in this image,tuberous sclerosis,train
synpic28718,abnormality,what is abnormal in the ct scan,abdominal abscess,train
synpic17361,abnormality,what is the primary abnormality in this image,blount's disease,train
synpic42284,abnormality,what abnormality is seen in the image,epidermoid cyst,train
synpic55469,abnormality,what is abnormal in the ct scan,ankylosing spondylitis,train
synpic14610,abnormality,what abnormality is seen in the image,multiple c1 fractures,train
synpic48406,abnormality,what abnormality is seen in the image,ventriculus terminalis,train
synpic51867,abnormality,what is abnormal in the ct scan,orbital cellulitis,train
synpic31737,abnormality,what abnormality is seen in the image,talocalcaneal coalition,train
synpic49809,abnormality,what abnormality is seen in the image,cerebral infarction,train
synpic47620,abnormality,what abnormality is seen in the image,choroid plexus papilloma,train
synpic34806,abnormality,what is the primary abnormality in this image,toxoplasmosis,train
synpic35603,abnormality,what abnormality is seen in the image,tuberous sclerosis,train
synpic22237,abnormality,what is abnormal in the ct scan,blowout fracture of orbit,train
synpic56281,abnormality,what is abnormal in the x-ray,adenocarcinoma of the lung,train
synpic55594,abnormality,what abnormality is seen in the image,venous infarction,train
synpic51335,abnormality,what abnormality is seen in the image,trigeminal schwannoma cn v,train
synpic45158,abnormality,what is abnormal in the mri,glioblastoma multiforme and gliomatosis cerebri,train
synpic27139,abnormality,what is abnormal in the x-ray,transscaphoid-transtriquetrial perilunate fracture dislocation,train
synpic33910,abnormality,what is the primary abnormality in this image,meningioma,train
synpic33342,abnormality,what is abnormal in the ct scan,subcutaneous abscess,train
synpic55480,abnormality,what is abnormal in the ct scan,ankylosing spondylitis,train
synpic59865,abnormality,what is most alarming about this mri,low grade diffuse astrocytoma,train
synpic52445,abnormality,what is abnormal in the mri,glioblastoma multiforme,train
synpic29008,abnormality,what abnormality is seen in the image,sturge weber syndrome,train
synpic22225,abnormality,what is the primary abnormality in this image,vertical shear or malgaigne fracture,train
synpic27630,abnormality,what is most alarming about this mri,pheochromocytoma bilateral,train
synpic53585,abnormality,what is abnormal in the mri,acute bilateral subdural hematomas convexity interhemispheric tentorial,train
synpic27286,abnormality,what is most alarming about this x-ray,midgut malrotation,train
synpic52849,abnormality,what is most alarming about this mri,giant cell tumor,train
synpic49395,abnormality,what abnormality is seen in the image,congital absence of the internal carotid artery,train
synpic60523,abnormality,what is the primary abnormality in this image,graft-versus-host disease,train
synpic47774,abnormality,what abnormality is seen in the image,papillary carcinoma of the thyroid,train
synpic29238,abnormality,what abnormality is seen in the image,anterior dislocation right shoulder,train
synpic41236,abnormality,what is abnormal in the ct scan,bilateral locked facets,train
synpic32624,abnormality,what is most alarming about this x-ray,avascular necrosis,train
synpic11818,abnormality,what abnormality is seen in the image,subependymoma lateral ventricle,train
synpic20071,abnormality,what is the primary abnormality in this image,choroid plexus cysts . patient a normal fetus . patient b trisomy 18,train
synpic26737,abnormality,what is abnormal in the ct scan,cavernous hemangioma,train
synpic18406,abnormality,what is most alarming about this ct scan,gastric diverticula,train
synpic36677,abnormality,what is abnormal in the mri,schizencephaly,train
synpic58906,abnormality,what abnormality is seen in the image,cerebral infarction,train
synpic36381,abnormality,what is the primary abnormality in this image,malignant peripheral nerve sheath tumor mpnst,train
synpic47672,abnormality,what is the primary abnormality in this image,cryptorchidism,train
synpic27724,abnormality,what is most alarming about this ultrasound,cholelithiasis,train
synpic43435,abnormality,what is most alarming about this ct scan,hereditary nonpolyposis colon cancer,train
synpic59012,abnormality,what abnormality is seen in the image,pilocytic astrocytoma,train
synpic59942,abnormality,what abnormality is seen in the image,posterior inferior cerebellar artery infarct,train
synpic26372,abnormality,what is abnormal in the ct scan,killian-jamieson diverticulum,train
synpic25219,abnormality,what is the primary abnormality in this image,cerebellar astrocytoma pilocytic astrocytoma,train
synpic55809,abnormality,what is abnormal in the mri,cerebral infarction stroke,train
synpic60676,abnormality,what is the primary abnormality in this image,arachnoid cyst,train
synpic28056,abnormality,what is most alarming about this ct scan,mondini syndrome,train
synpic26244,abnormality,what abnormality is seen in the image,adult medulloblastoma,train
synpic32753,abnormality,what is abnormal in the mri,acl tear,train
synpic46448,abnormality,what abnormality is seen in the image,pyopneumothorax,train
synpic48487,abnormality,what is most alarming about this ultrasound,pyonephrosis,train
synpic29541,abnormality,what is abnormal in the angiogram,coil embolization of a dialysis fistula,train
synpic16165,abnormality,what is the primary abnormality in this image,segond fracture with asssociated anterior cruciate ligament tear,train
synpic53569,abnormality,what abnormality is seen in the image,supra-renal inferior vena cava clot,train
synpic16192,abnormality,what is most alarming about this x-ray,chondrocalcinosis,train
synpic33126,abnormality,what is most alarming about this ultrasound,rickets due to renal failure,train
synpic33273,abnormality,what is most alarming about this ct scan,focal nodular hyperplasia,train
synpic28624,abnormality,what is most alarming about this ct scan,hepatocellular carcinoma and bone metastasis .,train
synpic59546,abnormality,what is most alarming about this ct scan,mucus rentention cyst,train
synpic44141,abnormality,what abnormality is seen in the image,functional immaturity of the colon - small left colon syndrome,train
synpic48668,abnormality,what is abnormal in the mri,arachnoid cyst,train
synpic31780,abnormality,what is abnormal in the x-ray,osteogenesis imperfecta,train
synpic57072,abnormality,what is the primary abnormality in this image,childhood brain tumors epidemiology demographics,train
synpic34587,abnormality,what is most alarming about this mri,intracranial lipoma,train
synpic59198,abnormality,what abnormality is seen in the image,aneurysmal dilation of the vein of galen secondary to av fistulae vein of galen aneurysm,train
synpic23975,abnormality,what is most alarming about this x-ray,gout,train
synpic20959,abnormality,what is most alarming about this mammograph,reduction mammoplasty,train
synpic29553,abnormality,what is the primary abnormality in this image,usuhs faculty senate education committee 2010-2011,train
synpic28793,abnormality,what abnormality is seen in the image,osteiitis condensans ilii,train
synpic27287,abnormality,what is abnormal in the ct scan,midgut malrotation,train
synpic17854,abnormality,what is abnormal in the ultrasound,seminoma,train
synpic27268,abnormality,what is the primary abnormality in this image,multiple hereditary exostosis,train
synpic27360,abnormality,what is the primary abnormality in this image,dysembryoplastic neuroepithelial tumors dnet,train
